TrieuChung,Benh,Thuoc1,Thuoc2,GoiY
đau đầu,đau nửa đầu,Paracetamol,Panadol Extra,Dùng Panadol Extra nếu cần
đau họng,viêm họng do virus,Strepsils,Eugica,Súc miệng nước muối
sốt nhẹ,cảm cúm,Paracetamol,Oresol,Nghỉ ngơi và uống nhiều nước
đau bụng,rối loạn tiêu hóa,Smecta,Berberin,"Ăn nhẹ, tránh dầu mỡ"
tiêu chảy,nhiễm khuẩn đường ruột,Loperamid,Hydrite,Uống đủ nước
đầy hơi,khó tiêu,Simethicone,Biozyme,Hạn chế thức ăn sinh hơi
ho khan,viêm phế quản nhẹ,Prospan,Tiffy,Theo dõi nếu ho kéo dài
ngứa cổ,viêm họng dị ứng,Kẹo ngậm bạc hà,Clorpheniramin,Tránh dị ứng
mất vị giác,nhiễm COVID-19 hoặc tổn thương thần kinh vị giác,nghỉ ngơi,bổ sung kẽm,Bổ sung kẽm để phục hồi
mệt mỏi,Viêm họng,Vitamin C,Kháng sinh,
buồn nôn,Rối loạn tiêu hóa,Ibuprofen,"Ăn nhẹ, dễ tiêu",
khó tiêu,Viêm phế quản,Oresol,Panadol,"Đeo khẩu trang, tránh lây nhiễm"
sốt cao,Sốt xuất huyết,Panadol,Không tự ý dùng kháng sinh,
khó thở,Viêm phế quản,Ibuprofen,Kháng sinh,
đau khớp,Viêm xoang,Ibuprofen,Thuốc ho,
chóng mặt,Đau nửa đầu,Kháng sinh,Decolgen,
đau lưng,Viêm phế quản,Vitamin C,Thuốc ho,
ngứa da,Covid-19,Oresol,,Theo dõi thêm triệu chứng,
đau rát họng,Covid-19,Vitamin C,Panadol,
hắt hơi,Viêm họng,Panadol,Thuốc ho,Không vận động mạnh
buồn ngủ,Rối loạn tiêu hóa,Thuốc ho,Terpin,
đau ngực,Đau nửa đầu,Thuốc ho,Theo dõi thêm triệu chứng,
đau tai,Đau nửa đầu,Vitamin C,Decolgen,Đi khám bác sĩ nếu kéo dài
sưng họng,Viêm họng,Paracetamol,Vitamin C,Không vận động mạnh
